ID,#日本語(原文),#やさしい日本語,#英語(原文),
65,何のことを言っているの？,何のことを言っているの？,what are you talking about ?,
66,彼は私を頼りにしている。,彼は私を頼っている。,he is doing it with my help .,
67,彼はアメリカの婦人と結婚している。,彼はアメリカの女性と結婚している。,he is married to an american lady .,
68,猫は木をかけ登った。,猫は木を走って登った。,the cat ran up the tree .,
69,彼は何でも、しったかぶりする。,彼は何でも、知っているように見せる。,he pretends to know everything .,
70,ジョンは駅の方へと歩いている。,ジョンは駅の方へと歩いている。,john is walking in the direction of the station .,
71,そんなに怒る必要はない。,そんなに怒る必要はない。,there 's no need to get so angry .,
72,後で、折り返し電話するわ。,後で、すぐに電話するわ。,"let me call you back later , ok ?",
73,ケーキをもっと召し上がってください。,ケーキをもっと食べてください。,please help yourself to more cake .,
74,私には外国人の友達が２人います。,私には外国人の友達が二人います。,i have two foreign friends .,
75,成功するつもりなら努力しなければならない。,成功するつもりなら努力しなければならない。,you have to make efforts if you are to succeed .,
76,この２つから選びなさい。,この２つから選びなさい。,choose between these two .,
77,その家はかなりぼろ屋になっている。,その家はかなり古くなっている。,the house is quite run down .,
78,私は大坂生まれですが、東京で育ちました。,私は大坂で生まれましたが、東京で生活しました。,"i was born in osaka , but brought up in tokyo .",
79,月曜日までにこの仕事を終えて下さい。,月曜日までにこの仕事を終わらせてください。,please get this work finished by monday .,
80,あの家はまだ買い手がつかない。,あの家はまだ買う人がいない。,they still haven 't found a buyer for that house .,
81,戦争が起こるかもしれない。,戦争が起こるかもしれない。,there 's a possibility of war .,
82,目覚めてみると彼女は病院にいた。,起きてみると彼女は病院にいた。,she woke to find herself in the hospital .,
83,彼女は元気が無くなった。,彼女は元気がなくなった。,she isn 't as energetic as she once was .,
84,それはこっちのセリフですよ。,それはこっちの言葉ですよ。,that 's what i want to say !,
85,大阪にはどうやって行くんですか。,大阪にはどうやって行くんですか。,how will you travel to osaka ?,
86,私は彼女の合格を祝った。,私は彼女の合格を喜んだ。,i congratulated her on her success in the examination .,
87,もっとゆっくり言ってください。,もっとゆっくり言ってください。,please speak more slowly .,
88,十中八、九まで彼は彼女と結婚するだろう。,おそらく彼は彼女と結婚するだろう。,ten to one he will get married to her .,
89,お勘定して下さい。,お会計してください。,"check , please .",
90,我々は上のほうから叫び声がするのを耳にした。,私たちは上の方から叫ぶ声がするのを耳にした。,we heard a cry from above .,
91,通りにはたくさんの車が見える。,通りには多くの車が見える。,we see a lot of cars on the street .,
92,これらはあなたの物ですか。,これらはあなたの物ですか。,are these yours ?,
93,書かねばならない手紙があります。,書かねばならない手紙があります。,i have to write a letter .,
94,その帽子は５０ドルでした。,その帽子は５０ドルでした。,that hat cost around fifty dollars .,
95,中国人は朝食に何を食べますか。,中国人は朝食に何を食べますか。,what do chinese people have for breakfast ?,
96,彼は君にここにいてもらいたがっている。,彼はあなたにここにいてもらいたいと思っている。,he wants you to stay here .,
97,彼は試験をうけるべきであったのに。,彼は試験を受けるべきであったのに。,he should have taken the examination .,
98,私の兄は交通事故で亡くなった。,私の兄は交通事故で死んだ。,my brother was killed in a traffic accident .,
99,この仕事は単純なので子供にもできる。,この仕事は簡単なので子供にもできる。,this work is simple enough for a child to do .,
100,列車はその駅では止まりません。,列車はその駅では止まりません。,the train doesn 't stop at that station .,
101,老人をいたわりなさい。,老人を大切にしなさい。,be kind to old people .,
102,この世に全く新しきものなし。,この世界に全く新しいものなし。,there is nothing new under the sun .,
103,彼は先生の忠告を尊重した。,彼は先生の注意を大切にした。,he made much of his teacher 's advice .,
104,彼らはその問題を解決するために大変努力した。,彼らはその問題を解決するために大変努力した。,they made a great effort to settle the problem .,
105,私はその事実を知っていましたよ。,私はその事実を知っていましたよ。,i was aware of that fact .,
106,これは私が欲しいと思った物です。,これは私が欲しいと思った物です。,this is what i wanted .,
107,彼女はあざけられた。,彼女は悪く言われた。,she was laughed at .,
108,これで僕もようやく浮かばれる。,これで僕もようやく浮かばれる。,then i can have some peace of my mind .,
109,彼は事故のため仕事ができなくなった。,彼は事故のため仕事ができなくなった。,his accident incapacitated him for work .,
110,誰がこの事件を裁くのでしょうか。,誰がこの事件を裁くのでしょうか。,who is going to try this case ?,
111,君はそれを持っていますか。,あなたはそれを持っていますか。,do you have one ?,
112,彼は、イギリス人です。,彼は、イギリス人です。,he is english .,
113,ある意味で、人生は夢にすぎない。,ある意味で、人生は夢にすぎない。,"in a sense , life is but a dream .",
114,私は午後ずっとその本を読み続けている。,私は午後ずっとその本を読み続けている。,i have been reading the book all afternoon .,
115,なぜ、彼女に直接言わないの。,なぜ、彼女に直接言わないの。,why not talk to her about it directly ?,
116,その考えはあまり気に入らない。,その考えはあまり気に入らない。,i don 't like the idea much .,
117,彼はその時までにすっかり頭にきていた。,彼はその時までに完全に頭にきていた。,he was good and mad by that time .,
118,彼らは別々に住んでいる。,彼らは別の所に住んでいる。,they live apart .,
119,この辞書は私に大いに役立った。,この辞書は私にとても役に立った。,this dictionary has been of great use to me .,
120,君は今日明るい顔をしている。,あなたは今日明るい顔をしている。,you look happy today .,
121,だれも彼の間違いを指摘するだけの勇気がなかった。,誰も彼の間違いを指摘するだけの勇気がなかった。,no one had the heart to say he was wrong .,
122,あなたは何にするの。,あなたは何にするの。,what are you going to have ?,
123,君の答えは適切である。,あなたの答えは適切である。,your answer is to the point .,
124,もう手が冷たくって。,もう手が冷たくって。,my hand 's getting too cold .,
125,この本はここで売られています。,この本はここで売られています。,this book is sold here .,
126,彼はいつも仕事をやりかけにしておく。,彼はいつも仕事を途中にしておく。,he always leaves his work half done .,
127,私は時々一人で外国旅行をしたものだ。,私は時々一人で外国旅行をしたものだ。,i would sometimes travel abroad alone .,
128,彼は少し疲れているようですね。,彼は少し疲れているようですね。,"he looks a bit tired , doesn 't he ?",
129,君は必ずしも間違ってはいない。,あなたは必ずしも間違ってはいない。,you are not at all wrong .,
130,誰もこんな辺鄙な村に我々を訪ねてこない。,誰もこんな行くのが難しい村に私たちを訪ねない。,nobody ever comes to see us in this out-of-the-way village .,
131,冷たい水を持ってきて下さい。,冷たい水を持ってきてください。,bring me some cold water .,
132,彼は必ず一度月に一回両親に手紙を書く。,彼は必ず１度月に１回両親に手紙を書く。,he never fails to write to his parents once a month .,
133,誰でもその問題を解くことができる。,誰でもその問題を答えることができる。,anybody can solve that problem .,
134,私は昨日映画を見に行きました。,私は昨日映画を見に行きました。,i went to see the movies yesterday .,
135,空には太陽が輝いています。,空には太陽が輝いています。,the sun is shining in the sky .,
136,これらよりもう少し大きいのはありますか。,これらよりもう少し大きいのはありますか。,do you have one a little bigger than these ?,
137,彼は君の成功をねたんでいる。,彼はあなたの成功を見て自分もそうなりたいと思っている。,he begrudges you your success .,
138,彼女は子供を正直であるように育てた。,彼女は子供を正直であるように育てた。,she brought up her children to be truthful .,
139,私は彼の計画に賛成します。,私は彼の計画に賛成します。,i agree to his plan .,
140,彼は親切にも私に町を案内してくれた。,彼は親切にも私に町を案内してくれた。,he was so kind as to show me around the town .,
141,君の助言はいつも私の役に立つ。,あなたの助言はいつも私の役に立つ。,your advice is always helpful to me .,
142,私達は会合を次の日曜まで延期することに決めた。,私たちは会議を次の日曜まで遅くすることに決めた。,we decided to put off the meeting until next sunday .,
143,彼は我々のチームで最も価値のある選手です。,彼は私たちのチームで最も価値のある選手です。,he is the most valuable player in our team .,
144,私とテニスをしませんか。,私とテニスをしませんか。,what do you say to playing tennis with me ?,
145,ここからタクシーで行くといくらくらいかかりますか。,ここからタクシーで行くといくらくらいかかりますか。,about how much would a taxi be from here ?,
146,私は本当はそのように考えていない。,私は本当はそのように考えていない。,i don 't really look at it that way .,
147,それが私のお気に入りの歌だ。,それが私のお気に入りの歌だ。,it 's my favorite song .,
148,彼女にはよくある事だが、約束を破った。,彼女にはよくある事だが、約束を破った。,"as is often the case with her , she broke her promise .",
149,彼女は他のどの学生にも劣らず勉強する。,彼女は他のどの学生にも負けず勉強する。,she works as hard as any other student .,
150,ほかの国にも旅行しますか。,ほかの国にも旅行しますか。,are you going to visit any other countries ?,
151,ジョンはチェスが上手です。,ジョンは相手の王を逃げられなくすれば勝つゲームがうまいです。,john is good at chess .,
152,いつでも喜んでお手伝いいたします。,いつでも喜んでお助けします。,i will be glad to help you anytime .,
153,彼の職業は電話と関係がある。,彼の仕事は電話と関係がある。,his job has to do with telephones .,
154,やりたいことを全部する時間がないのです。,やりたいことを全てする時間がないのです。,i simply haven 't the time to do everything i want to do .,
155,誰もが彼女のことを誉める。,誰もが彼女のことを褒める。,everybody speaks well of her .,
156,あの犬には近づくな。,あの犬には近づくな。,keep away from the dog .,
157,お父さんのそばに座りなさい。,お父さんのそばに座りなさい。,go and sit by your father .,
158,彼女は彼に自転車を使うように言った。,彼女は彼に自転車を使うように言った。,she advised him to use a bicycle .,
159,その事故で交通は止まった。,その事故で交通は止まった。,the accident stopped the traffic .,
160,彼は彼女の妹と結婚した。,彼は彼女の妹と結婚した。,he was married to her sister .,
161,彼は建物の奥に行ってみました。,彼は建物の奥に行ってみました。,he went to the back of the building .,
162,彼は言ったことをし損なった。,彼は言ったことをできずに終わった。,he failed to do what he said he would do .,
163,彼は野球の選手です。,彼は野球の選手です。,he is a baseball player .,
164,私と一緒に来ない。,私と一緒に来ない。,why don 't you come with me ?,
165,私の父はいつも忙しい。,私の父はいつも忙しい。,my father is always busy .,
166,彼は繊細だ。,彼は繊細だ。,he is delicate .,
167,ジムはお父さんに似ている。,ジムはお父さんに似ている。,jim resembles his father .,
168,彼は今日、お弁当を持って来た。,彼は今日、お弁当を持って来た。,he brought his lunch today .,
169,いつ食事を出したらよいか教えて下さい。,いつ食事を出したらよいか教えてください。,please tell me when to serve the food .,
170,病院まで１０マイルもある。,病院まで１０マイルもある。,it is no less than ten miles to the hospital .,
171,何をやっても無駄だよ。,何をやっても無駄だよ。,it 's no use trying anything .,
172,彼はいやいやその仕事をした。,彼は仕方がなくその仕事をした。,he did the work against his will .,
173,我々はいつかは石油が不足するだろう。,私たちはいつかは石油が不足するだろう。,we will run short of oil some day .,
174,彼女の声は震えていた。,彼女の声は震えていた。,there was a tremble in her voice .,
175,トムは兄と同じくらい上手にスキーができる。,トムは兄と同じくらいうまく雪の上を滑るスポーツができる。,tom can ski as well as his brother .,
176,そんなガツガツ食べないで、もうちょっとゆっくり食べようよ。,そんな急いで食べないで、もうちょっとゆっくり食べようよ。,stop inhaling your food . you 'd better eat more slowly .,
177,彼は新聞に自分の顔を発表したかった。,彼は新聞に自分の顔を発表したかった。,he wanted to be in the newspapers .,
178,彼がそう思うのはまったく当然だ。,彼がそう思うのは全く当然だ。,it is quite natural that he think so .,
179,私は結婚しています。,私は結婚しています。,i 'm married .,
180,彼の父は事業に失敗した。,彼の父は事業に失敗した。,his father failed in business .,
181,彼の話はみんなを楽しませた。,彼の話はみんなを楽しませた。,his story amused everyone .,
182,滞在中は楽しかったですか。,滞在中は楽しかったですか。,did you enjoy your visit ?,
183,私はタバコを吸うために立ち止まった。,私は煙草を吸うために歩くのをやめた。,i stopped to smoke .,
184,彼女は、大分に行く。,彼女は、大分に行く。,she 's going to ooita .,
185,私の時計は週に３分遅れる。,私の時計は週に３分遅れる。,my watch loses three minutes a week .,
186,つかの間の平和の後でまた戦争が起こった。,短い間の平和の後でまた戦争が起こった。,"after a brief peace , war broke out again .",
187,今日は泳ぎたくはないですか。,今日は泳ぎたくはないですか。,don 't you want to swim today ?,
188,また近いうちにお目にかかりましょう。,また近いうちにお目にかかりましょう。,let 's meet again soon .,
189,私達はその少年をガイドにした。,私たちはその少年に案内を頼んだ。,we made the boy our guide .,
190,今年は寒い秋です。,今年は寒い秋です。,we have a cold autumn this year .,
191,彼は自分の考えを書き留めた。,彼は自分の考えを書いておいた。,he put his thoughts on paper .,
192,我々学生はみな野球が好きだ。,私たち学生はみんな野球が好きだ。,we students all like baseball .,
193,その会社は車を何台買ったか。,その会社は車を何台買ったか。,how many cars has that company bought ?,
194,彼は短い病気の後で死んだ。,彼は短い病気の後で死んだ。,he died after a brief illness .,
195,そんなことをするなんて何と無分別な男だ。,そんなことをするなんて何と他の人のことを考えない男だ。,what a thoughtless man to do that !,
196,くたくたに疲れました。,とても疲れました。,i 'm exhausted .,
197,彼女は私たちに役に立つ情報をくれました。,彼女は私たちに役に立つ情報をくれました。,she gave us some useful information .,
198,ああ、やっと終わった。,ああ、やっと終わった。,"well , we 've finished at last .",
199,国民は新しい政府を作った。,国民は新しい政府を作った。,the people set up a new government .,
200,私は帰宅するといつもコートにブラシをかける。,私は家に帰るといつも上に着る服をきれいにする。,i always brush my coat when i come home .,
201,彼はそれができるといった。,彼はそれができるといった。,he said he could do it .,
202,彼はガンにかかった。,彼はガンにかかった。,he has got cancer .,
203,これまでのところすべてが順調だ。,これまでのところ全てが調子よい。,so far everything has been going well .,
204,私はその本を読み終えたところです。,私はその本を読み終わったところです。,i have just finished reading the book .,
205,それが真実であると仮定しよう。,それが本当のことであるとして考えてみよう。,let 's suppose its true .,
206,彼は私にそこへ行けと命じた。,彼は私にそこへ行けと命令した。,he bade me go there .,
207,私たちにまだたくさんの仕事がある。,私たちにまだ多くの仕事がある。,we still have masses of work .,
208,何の用でここまできたのですか。,何の目的でここまできたのですか。,what has brought you here ?,
209,成功することはまったく期待してない。,成功することは全く期待してない。,we hold out no expectation of success .,
210,この箱を２階へ運んでもらえますか。,この箱を２階へ運んでもらえますか。,can i have this box carried upstairs ?,
211,私の母は私にかばんを作ってくれました。,私の母は私に鞄を作ってくれました。,my mother made me a bag .,
212,こんな長い間待たせてごめんなさい。,こんな長い間待たせてごめんなさい。,i am sorry to have kept you waiting so long .,
213,腕を放して。,腕を放して。,let go of my arm !,
214,遅れたので私はバスに乗った。,遅れたので私はバスに乗った。,"as i was late , i took a bus .",
215,彼は口も利けない程腹を立てていた。,彼は何も話すことが出来ないほどに腹を立てていた。,"he could not speak , he was so angry .",
216,悪かった。,悪かった。,okay . sorry .,
217,念のため、何か食べておきなさい。,とりあえず、何か食べておきなさい。,have something to eat just in case .,
218,彼らはあなたを怖がっていた。,彼らはあなたを怖がっていた。,they feared you .,
219,君が今日いこうとたいした違いはないだろう。,あなたが今日いこうと大きな違いはないだろう。,it will not make much difference whether you go today or tomorrow .,
220,だれがこの人形を作ったか。,誰がこの人形を作ったか。,who made the doll ?,
221,彼はその新しい計画に抗議した。,彼はその新しい計画に反対した。,he protested against the new plan .,
222,昨日は、くもりだった。,昨日は、曇りだった。,it was cloudy yesterday .,
223,彼はゆっくりと歩く。,彼はゆっくりと歩く。,he walks slowly .,
224,この辞書はすごく役に立つ。,この辞書はすごく役に立つ。,this dictionary is of great use .,
225,私はそのゲームはとても面白いと思った。,私はそのゲームはとても面白いと思った。,i found the game very exciting .,
226,誰でも間違う事はある。,誰でも間違う事はある。,anyone can make mistakes .,
227,私はたびたび彼を訪ねます。,私はよく彼を訪ねます。,i often call on him .,
228,彼はきっと来ると思う。,彼はきっと来ると思う。,he is sure to come .,
229,もう少し記憶力がよければなあ。,もう少し記憶力がよければなあ。,i wish i had a better memory .,
230,いつあなたはお姉さんと京都へ行きましたか。,いつあなたはお姉さんと京都へ行きましたか。,when did you go to kyoto with your sister ?,
231,その劇は残念なくらい早く終わった。,その劇は残念なくらい早く終わった。,the play ended all too soon .,
232,私は君を信頼している。,私はあなたを信頼している。,i have confidence in you .,
233,われわれは自分だけのために生まれたのではない。,私たちは自分だけのために生まれたのではない。,we are not born for ourselves .,
234,彼は大学に入れるように一生懸命勉強した。,彼は大学に入れるように頑張って勉強した。,he studied hard in order to get into college .,
235,キャッチボールをしよう。,ボールを互いに投げよう。,let 's play catch .,
236,もうちょっと上品にできないの。,もうちょっと品を良くできないの。,you could try and be a bit more civilized .,
237,私の仕事には手助けがいる。,私の仕事には助ける人がいる。,i need some help with my work .,
238,彼はパリへ行き初めて私に会った。,彼はパリへ行き初めて私に会った。,"he went to paris , where he met me for the first time .",
239,ドアはどうしても開かなかった。,ドアはどうしても開かなかった。,the door would not open .,
240,彼は少しも仕事をしなかった。,彼は少しも仕事をしなかった。,he didn 't do a stitch of work .,
241,ぼくにはまるでその理由がわからない。,僕にはまるでその理由がわからない。,i have no idea why it is so .,
242,誤解しないでくれ。,間違った理解をしないでくれ。,don 't get me wrong .,
243,時間のある時に私に会いに来なさい。,時間のある時に私に会いに来なさい。,come and see me when you have time .,
244,ごゆっくりどうぞ。急ぐ必要はありません。,ごゆっくりどうぞ。急ぐ必要はありません。,take your time . there 's no hurry .,
245,彼は簡単に木にのぼる。,彼は簡単に木に登る。,he gets up the tree without difficulty .,
246,列車が入ってくるよ。,列車が入ってくるよ。,here comes the train .,
247,最近彼女を見かけない。,最近彼女を見ない。,we haven 't seen her of late .,
248,易しい英語で言ってください。,簡単な英語で言ってください。,could you say that in plain english ?,
249,私の娘はぐっすり寝ている。,私の娘は深く寝ている。,my daughter is fast asleep .,
250,彼はかなりたくさんの本を持っている。,彼はかなり多くの本を持っている。,he has any number of books .,
251,実を言うと彼女はぼくの妹なんだ。,実を言うと彼女は僕の妹なんだ。,"to tell the truth , she is my sister .",
252,今日は少しすずしい。,今日は少し涼しい。,it is a little cool today .,
253,ジョアンではなくて、君が間違っている。,ジョアンではなくて、あなたが間違いだ。,it 's not joan . you are wrong .,
254,ここが父の生まれたところです。,ここが父の生まれたところです。,this is the place where my father was born .,
255,私達はまだ電話をつりつけていません。,私たちはまだ電話をつけていません。,we are not on the telephone yet .,
256,僕がいない間、この赤ちゃんをお願いするよ。,僕がいない間、この赤ちゃんをお願いするよ。,keep an eye on the baby while i am away .,
257,私の電話は故障している。,私の電話はダメになっている。,my telephone is out of order .,
258,その子をからかってはいけない。,その子を困らせてはならない。,don 't make fun of that child .,
259,今あまりお金を持っていません。,今あまりお金を持っていません。,i don 't have much money now .,
260,もし見つかったら彼はひどい目にあうだろう。,もし見つけられたら彼はひどいことになるだろう。,it will go hard with him if he is found out .,
261,私は彼に支払うべき金を払った。,私は彼に払うべき金を払った。,i paid him the money due to him .,
262,彼女に手をだすな。,彼女に手を出すな。,you stay away from her .,
263,私を助けてくれたとき、彼は危険を冒した。,私を助けてくれた時、彼は危険なことをした。,he took a risk when he helped me .,
264,彼と論議しても無駄だ。,彼と意見をお互いに話しても意味がない。,it 's no use arguing with him .,
265,この犬は誰が世話をするのですか。,この犬は誰が世話をするのですか。,who looks after this dog ?,
266,私はあなたに日本について話しましょう。,私はあなたに日本について話しましょう。,i will tell you about japan .,
267,私はあなたの言うことがさっぱりわかりません。,私はあなたの言うことが全くわかりません。,i have no idea what you mean .,
268,あなたが試験に受かることは確かです。,あなたが試験に合格することは確かです。,that you will pass the exam is certain .,
269,ヒゲもそりますか。,口の周囲の毛もそりますか。,do you also want a shave ?,
270,今日は少し気分が悪い。,今日は少し気分が悪い。,i am a little out of sorts today .,
271,彼女は来週から産休に入る。,彼女は１週間後から赤ちゃんが生まれたため休みに入る。,she will start her maternity leave next week .,
272,この計画について大部分は知っている。,この計画について大部分は知っている。,i know about this project for the most part .,
273,近くで火事が起こった。,近くで火事が起こった。,a fire broke out nearby .,
274,散歩程よい物はない。,外を歩くことほどいい物はない。,there is nothing like a walk .,
275,次に何が起こるかだれにもわからない。,次に何が起こるか誰にもわからない。,nobody knows what will happen next .,
276,彼は私の留守中に会いに来た。,彼は私の留守中に会いに来た。,he came to see me during my absence .,
277,彼女のおじさんは有名な医者です。,彼女のおじさんは有名な医者です。,her uncle is a famous doctor .,
278,毎朝、何時に起きますか。,毎日朝、何時に起きますか。,what time do you get up every morning ?,
279,渋滞にひっかかった。,混んでいる道路に入った。,i was caught in traffic .,
280,彼はテレビを消して勉強にとりかかった。,彼はテレビを切って勉強を始めた。,he turned off the tv and began to study .,
281,わたし新しい服を買わなくちゃ。,私新しい服を買わなくちゃ。,i have to get some new clothes .,
282,テレビを見た後で宿題をする。,テレビを見た後で宿題をする。,i 'll do my homework after i watch television .,
283,そこに署名してください。,そこに名前を書いてください。,sign your name there .,
284,彼は自動車を運転できる年齢だ。,彼は自動車を運転できる年齢だ。,he is old enough to drive a car .,
285,スキーに行きたいな。,雪の上を滑るスポーツをするところに行きたいな。,i 'd like to go skiing .,
286,あなたはポーラに何と言ったのですか。,あなたはポーラに何と言ったのですか。,what did you say to paula ?,
287,その手を空へ突き上げろ。,その手を空へ上げろ。,raise your hand to the sky .,
288,今日は人生最良の日だ。,今日は人生で最もいい日だ。,today is the best day of my life .,
289,君がこのことを理解する時がくるだろう。,あなたがこのことを理解する時がくるだろう。,the time will come when you will understand this .,
290,私にその辞書を持ってきなさい。,私にその辞書を持ってきなさい。,bring me the dictionary .,
291,今まで何をしていたのですか。,今まで何をしていたのですか。,what have you been doing ?,
292,徒歩５分以内に着くはずです。,歩いて５分以下で着くはずです。,you should get there in five minutes walking .,
293,彼女は貧しい人達の味方です。,彼女はお金がなく生活が大変な人たちの味方です。,she is a friend of the poor .,
294,何を作るのですか。,何を作るのですか。,what are you cooking ?,
295,彼女はまたもとの自分に戻った。,彼女はまた元の自分に戻った。,she is her old self again .,
296,早寝早起きする人は長生きするものだ。,早く寝て早く起きる人は長く生きるものだ。,one who keeps good hours will live long .,
297,あの牛を見なさい。,あの牛を見なさい。,look at those cattle .,
298,実を言うと、二人は夫婦でないのです。,実を言うと、二人は夫婦でないのです。,"to tell the truth , they are not husband and wife .",
299,これが彼らに一番気に入らなかった。,これが彼らに一番気に入らなかった。,this pleased them worst of all .,
300,彼は以前ここに住んでいた。,彼は前ここに住んでいた。,he used to live here .,
301,子供は母親にあいたがっている。,子供は母に会いたく思っている。,the child is lonesome for its mother .,
302,君には脱帽するよ。,あなたには心からすごいと感じるよ。,i take my hat off to you .,
303,この部屋は暑い。,この部屋は暑い。,it is hot in this room .,
304,その湖の深さはどのくらいですか。,その湖の深さはどのくらいですか。,what is the depth of the lake ?,
305,彼は英語を書くと必ず間違える。,彼は英語を書くと必ず間違いをする。,he cannot write english without making mistakes .,
306,実はそれ、本当なんだ。,実はそれ、本当なんだ。,"as a matter of fact , it is true .",
307,あなたの言う事が理解できません。,あなたの言う事が理解できません。,i cannot follow you .,
